CH1 (V)  ,CH2 (V)  
12.101806641,0.030761719
12.195498047,0.030761719
12.304804687,0.028320312
12.398496094,0.029296875
12.507802734,0.027343750
12.601494141,0.028808594
12.726416016,0.027343750
12.820107422,0.028808594
12.913798828,0.028808594
13.023105469,0.029785156
13.132412109,0.028320312
13.210488281,0.030761719
13.335410156,0.030761719
13.444716797,0.031738281
13.538408203,0.031738281
13.632099609,0.032226562
13.741406250,0.033203125
13.850712891,0.036132812
13.960019531,0.036621094
14.053710937,0.039550781
14.147402344,0.040039062
14.256708984,0.042968750
14.366015625,0.043945312
14.475322266,0.046386719
14.569013672,0.046386719
14.693935547,0.048828125
14.787626953,0.051757812
14.881318359,0.054687500
14.990625000,0.056640625
15.084316406,0.060546875
15.193623047,0.061523437
15.287314453,0.064941406
15.396621094,0.066406250
15.490312500,0.069824219
15.599619141,0.071289062
15.693310547,0.071777344
15.802617187,0.073242187
15.911923828,0.074218750
16.005615234,0.072265625
16.130537109,0.070800781
16.224228516,0.066894531
16.333535156,0.064941406
16.427226562,0.060546875
16.536533203,0.058105469
16.630224609,0.054199219
16.755146484,0.051757812
16.848837891,0.046875000
16.942529297,0.044921875
17.051835937,0.041503906
17.145527344,0.040039062
17.254833984,0.037109375
17.348525391,0.036621094
17.473447266,0.035156250
17.567138672,0.034179687
17.660830078,0.033691406
17.754521484,0.034179687
17.879443359,0.032714844
17.973134766,0.034179687
18.082441406,0.034179687
18.176132813,0.035156250
18.285439453,0.035644531
18.379130859,0.038085937
18.504052734,0.038085937
18.582128906,0.039550781
18.691435547,0.040527344
18.800742187,0.042968750
18.894433594,0.043945312
19.003740234,0.046386719
19.097431641,0.047363281
19.206738281,0.050292969
19.316044922,0.051757812
19.409736328,0.054687500
19.519042969,0.056640625
19.612734375,0.059570312
19.722041016,0.054687500
19.831347656,0.060546875
19.925039062,0.064941406
20.034345703,0.068847656
20.143652344,0.072265625
20.252958984,0.075683594
20.346650391,0.079589844
20.455957031,0.082031250
20.565263672,0.084960937
20.674570312,0.086914062
20.752646484,0.087402344
20.877568359,0.087890625
20.986875000,0.087402344
21.080566406,0.086425781
21.174257812,0.084472656
21.267949219,0.082519531
21.392871094,0.080078125
21.486562500,0.077148437
21.595869141,0.073242187
21.705175781,0.069824219
21.798867188,0.065917969
21.892558594,0.062988281
22.017480469,0.059082031
22.095556641,0.055664062
22.204863281,0.053222656
22.314169922,0.050292969
22.423476562,0.048339844
22.501552734,0.046386719
22.626474609,0.045410156
22.720166016,0.043945312
22.829472656,0.043457031
22.938779297,0.042968750
23.032470703,0.042968750
23.141777344,0.043457031
23.235468750,0.043457031
23.329160156,0.043457031
23.454082031,0.044921875
23.547773437,0.045410156
23.657080078,0.046875000
23.750771484,0.048339844
23.860078125,0.049804687
23.953769531,0.051269531
24.078691406,0.053222656
24.172382813,0.054687500
24.281689453,0.058105469
24.375380859,0.059570312
24.484687500,0.062988281
24.593994141,0.064941406
24.687685547,0.068359375
24.796992187,0.071289062
24.906298828,0.074218750
24.999990234,0.076660156
25.109296875,0.080566406
25.202988281,0.083007812
25.312294922,0.086914062
25.405986328,0.088867187
25.515292969,0.094726562
25.608984375,0.095214844
25.718291016,0.097167969
25.827597656,0.098144531
25.921289062,0.099121094
26.030595703,0.098632812
26.139902344,0.098632812
26.217978516,0.097167969
26.342900391,0.096191406
26.436591797,0.093750000
26.545898437,0.092285156
26.639589844,0.088867187
26.748896484,0.085449219
26.858203125,0.081542969
26.951894531,0.079101562
27.045585938,0.075195312
27.154892578,0.073242187
27.264199219,0.069335937
27.357890625,0.067382812
27.451582031,0.063964844
27.560888672,0.063476562
27.670195312,0.061035156
27.779501953,0.060058594
27.888808594,0.058105469
27.982500000,0.058593750
28.107421875,0.060058594
28.201113281,0.061035156
28.310419922,0.055664062
28.419726562,0.056152344
28.513417969,0.054687500
28.607109375,0.055175781
28.716416016,0.055175781
28.825722656,0.057128906
28.919414062,0.057617187
29.028720703,0.060058594
29.122412109,0.059082031
29.231718750,0.062500000
29.341025391,0.063964844
